,dr7objid,ra,dec,p_bar,psi_sparcfire,psi_gz2,logMstar,NSAID,ISDSS,INED,IAUNAME,Z,ZDIST,SERSIC_BA,SERSIC_PHI,PETRO_THETA,PETRO_BA90,PETRO_PHI90,PETRO_BA50,PETRO_PHI50,RUN,CAMCOL,FIELD,RERUN,ELPETRO_MASS,SERSIC_MASS,t01_smooth_or_features_a02_features_or_disk_debiased,t02_edgeon_a05_no_debiased,t04_spiral_a08_spiral_debiased,t11_arms_number_a31_1_flag,t11_arms_number_a32_2_flag,t11_arms_number_a33_3_flag,t11_arms_number_a34_4_flag,t11_arms_number_a36_more_than_4_flag,t11_arms_number_a37_cant_tell_flag
959,587734304345948330,344.77572999999995,-0.29626238,0.06965329053319311,-999.0,18.956842160298212,10.524308538982217,30071.0,30528.0,210779.0,J225906.17-001746.5,0.04462569,0.045257926,0.9049694,122.968414,12.093159,0.9153565,123.032776,0.89440393,126.29535,4192.0,3.0,254.0,301,16646098000.0,20393255000.0,0.9459999799728394,1.0,1.0,0,0,0,0,0,0
960,587738197189984580,120.577156,55.906876000000004,0.18104307559511207,18.76061248779297,18.915127258975808,10.17699695950092,401640.0,406989.0,52364.0,J080218.51+555424.7,0.03365496,0.034060616,0.58383536,14.415161,17.29755,0.6664771,16.245575,0.7771677,33.362854,4294.0,6.0,112.0,301,7051000300.0,10321983000.0,0.9980000257492065,0.9353858561917281,0.9753889086840186,0,0,0,0,0,0
961,587725981227286680,130.40782,54.91849499999999,0.18872633226715196,-999.0,23.419758812636772,10.70286941402579,50455.0,50922.0,58986.0,J084137.88+545506.6,0.04456202,0.044914693,0.80450153,5.2873535,7.4309955,0.90248454,158.75806,0.93901885,162.85425,1411.0,4.0,59.0,301,22663956000.0,31375636000.0,0.8870000243186951,1.0,0.956629922924399,0,0,0,0,0,0
962,587739505014407280,205.24919,30.349467999999998,0.04354923583471975,8.446600914001465,16.231784604983773,10.32185122086272,439933.0,445293.0,142802.0,J134059.80+302058.0,0.04040232,0.040401086,0.8071432,38.63513,11.069488,0.86777353,39.013184,0.9377204,75.85515,4599.0,2.0,217.0,301,10693988000.0,11007135000.0,0.9129999876022339,1.0,0.9985051357766173,0,0,0,0,0,0
963,587739610239664208,189.42856,33.434326,0.28176426404552524,18.924694061279297,16.301645880342225,10.420243098763503,430351.0,435707.0,121876.0,J123742.85+332603.5,0.031208543,0.031175805,0.5867704,70.88107,12.270542,0.6892202,71.88223,0.79537576,74.945984,4623.0,6.0,195.0,301,7418066400.0,11173450000.0,0.878000020980835,1.0,0.81189184375553,0,0,0,0,0,0
964,587742013299884082,223.45327999999998,17.447731,0.4582909882335307,-999.0,18.20707130696634,10.672304429249726,565586.0,571173.0,161093.0,J145348.78+172651.8,0.045228623,0.045168042,0.6429337,14.382202,7.9168377,0.7232315,14.117767,0.7994391,28.329681,5183.0,2.0,592.0,301,16997217000.0,21305004000.0,0.9580000042915344,1.0,1.0,0,0,0,0,0,0
965,587732483301507234,231.32634,39.229923,0.31410302587372924,-999.0,16.461217214927174,10.263124693149695,250322.0,255480.0,167182.0,J152518.33+391347.7,0.031003468,0.031328827,0.43649334,152.18716,10.752045,0.5260633,151.92804,0.72719157,149.01431,3965.0,3.0,13.0,301,8586639400.0,9573681000.0,0.7450000047683716,0.922545022700201,1.0,0,0,0,0,0,0
966,587729970712609002,215.91081,-2.5044343,0.2206131415782704,-999.0,16.16848947511749,10.272374127605296,170029.0,174088.0,153788.0,J142338.59-023015.9,0.030436479,0.030014941,0.46805575,129.37262,14.077064,0.5557628,128.94641,0.7873563,127.48779,2379.0,3.0,45.0,301,9330086000.0,9748155000.0,0.8949999809265137,0.9626598593176389,0.9465689536681028,0,0,0,0,0,0
967,587736618787274963,238.70212,27.860328999999997,0.1196740494805384,14.357091903686525,16.542271179411173,10.628165900892693,685966.0,-1.0,-1.0,J155448.19+275136.0,0.04512956,0.045364413,0.72695637,142.7644,9.376751,0.7653225,142.85675,0.9632809,147.6984,3927.0,2.0,78.0,301,16543010000.0,16882970000.0,0.9070000052452087,0.9913195865154809,0.9963278282294982,0,0,0,0,0,0
968,587739304223768592,203.54388,33.959694,0.28414745350000503,15.678689002990724,17.610627350742067,10.146438595197363,444991.0,450352.0,140819.0,J133410.53+335734.8,0.040192194,0.04023952,0.75158286,42.796875,10.416905,0.8595357,46.03044,0.8423501,58.86229,4552.0,4.0,203.0,301,8099234300.0,10661289000.0,1.0,1.0,1.0,0,0,0,0,0,0
